,lvl12,etime,pressure,gph,temp,rh,dpdp,wdir,station-code,year,month,day,hour,reltime,npv,lattitude,longitude,wspd
0,30,0.0,27371.557166103103,3538.5714285714284,0.0,0.0,0.0,317.14285714285717,INM00042103,1928.0,3.0,18.0,99.0,230.0,7.0,303833.0,767667.0,94.28571428571429
1,30,0.0,27371.557166103103,2795.0,0.0,0.0,0.0,313.3333333333333,INM00042103,1928.0,3.0,19.0,99.0,130.0,6.0,303833.0,767667.0,125.0
2,30,0.0,27371.557166103103,2795.0,0.0,0.0,0.0,311.6666666666667,INM00042103,1928.0,3.0,20.0,99.0,130.0,6.0,303833.0,767667.0,86.66666666666667
3,30,0.0,27371.557166103103,3538.5714285714284,0.0,0.0,0.0,324.2857142857143,INM00042103,1928.0,3.0,21.0,99.0,130.0,7.0,303833.0,767667.0,85.71428571428571
4,30,0.0,27371.557166103103,2795.0,0.0,0.0,0.0,234.16666666666666,INM00042103,1928.0,3.0,22.0,99.0,530.0,6.0,303833.0,767667.0,75.0
5,30,0.0,27371.557166103103,1692.5,0.0,0.0,0.0,287.5,INM00042103,1928.0,3.0,23.0,99.0,130.0,4.0,303833.0,767667.0,55.0
6,30,0.0,27371.557166103103,2795.0,0.0,0.0,0.0,308.3333333333333,INM00042103,1928.0,3.0,24.0,99.0,730.0,6.0,303833.0,767667.0,60.0
7,30,0.0,27371.557166103106,2154.0,0.0,0.0,0.0,308.0,INM00042103,1928.0,3.0,25.0,99.0,130.0,5.0,303833.0,767667.0,100.0
8,30,0.0,27371.557166103103,1948.888888888889,0.0,0.0,0.0,204.44444444444446,INM00042103,1928.0,3.0,26.0,99.0,485.55555555555554,4.555555555555555,303833.0,767667.0,66.66666666666667
9,30,0.0,27371.557166103103,2795.0,0.0,0.0,0.0,263.3333333333333,INM00042103,1928.0,3.0,27.0,99.0,130.0,6.0,303833.0,767667.0,81.66666666666667
10,30,0.0,27371.557166103103,2795.0,0.0,0.0,0.0,190.0,INM00042103,1928.0,3.0,28.0,99.0,930.0,6.0,303833.0,767667.0,123.33333333333333
11,30,0.0,27371.557166103103,1692.5,0.0,0.0,0.0,170.0,INM00042103,1928.0,3.0,29.0,99.0,130.0,4.0,303833.0,767667.0,120.0
12,30,0.0,27371.557166103103,2628.3333333333335,0.0,0.0,0.0,223.33333333333334,INM00042103,1928.0,3.0,30.0,99.0,130.0,6.0,303833.0,767667.0,100.0
13,30,0.0,27371.557166103103,2628.3333333333335,0.0,0.0,0.0,315.0,INM00042103,1928.0,3.0,31.0,99.0,230.0,6.0,303833.0,767667.0,111.66666666666667
14,30,0.0,27371.557166103103,2795.0,0.0,0.0,0.0,313.3333333333333,INM00042103,1928.0,4.0,1.0,99.0,130.0,6.0,303833.0,767667.0,106.66666666666667
15,30,0.0,27371.557166103106,2154.0,0.0,0.0,0.0,322.0,INM00042103,1928.0,4.0,2.0,99.0,30.0,5.0,303833.0,767667.0,132.0
16,30,0.0,27371.557166103103,1256.6666666666667,0.0,0.0,0.0,330.0,INM00042103,1928.0,4.0,3.0,99.0,230.0,3.0,303833.0,767667.0,83.33333333333333
17,30,0.0,27371.557166103103,2795.0,0.0,0.0,0.0,313.3333333333333,INM00042103,1928.0,4.0,4.0,99.0,130.0,6.0,303833.0,767667.0,106.66666666666667
18,30,0.0,27371.557166103103,4346.25,0.0,0.0,0.0,302.5,INM00042103,1928.0,4.0,5.0,99.0,30.0,8.0,303833.0,767667.0,117.5
19,30,0.0,27371.557166103103,2795.0,0.0,0.0,0.0,198.33333333333334,INM00042103,1928.0,4.0,6.0,99.0,30.0,6.0,303833.0,767667.0,96.66666666666667
20,30,0.0,27371.557166103103,3395.714285714286,0.0,0.0,0.0,291.42857142857144,INM00042103,1928.0,4.0,7.0,99.0,130.0,7.0,303833.0,767667.0,74.28571428571429
21,30,0.0,27371.557166103103,3395.714285714286,0.0,0.0,0.0,138.57142857142858,INM00042103,1928.0,4.0,8.0,99.0,30.0,7.0,303833.0,767667.0,40.0
22,30,0.0,27371.557166103103,2795.0,0.0,0.0,0.0,123.33333333333333,INM00042103,1928.0,4.0,9.0,99.0,30.0,6.0,303833.0,767667.0,93.33333333333333
23,30,0.0,27371.557166103103,1692.5,0.0,0.0,0.0,327.5,INM00042103,1928.0,4.0,10.0,99.0,130.0,4.0,303833.0,767667.0,112.5
24,30,0.0,27371.557166103103,1692.5,0.0,0.0,0.0,220.0,INM00042103,1928.0,4.0,11.0,99.0,130.0,4.0,303833.0,767667.0,107.5
25,30,0.0,27371.557166103103,3005.0,0.0,0.0,0.0,260.0,INM00042103,1928.0,4.0,12.0,99.0,130.0,8.0,303833.0,767667.0,93.75
26,30,0.0,27371.557166103103,3005.0,0.0,0.0,0.0,225.0,INM00042103,1928.0,4.0,13.0,99.0,130.0,8.0,303833.0,767667.0,85.0
27,30,0.0,27371.557166103103,3130.0,0.0,0.0,0.0,223.75,INM00042103,1928.0,4.0,14.0,99.0,130.0,8.0,303833.0,767667.0,87.5
28,30,0.0,27371.557166103103,3005.0,0.0,0.0,0.0,236.25,INM00042103,1928.0,4.0,15.0,99.0,30.0,8.0,303833.0,767667.0,67.5
29,30,0.0,27371.557166103103,2291.4285714285716,0.0,0.0,0.0,188.57142857142858,INM00042103,1928.0,4.0,16.0,99.0,30.0,7.0,303833.0,767667.0,84.28571428571429
30,30,0.0,27371.557166103103,1825.4545454545455,0.0,0.0,0.0,211.8181818181818,INM00042103,1928.0,4.0,17.0,99.0,448.1818181818182,5.909090909090909,303833.0,767667.0,105.45454545454545
31,30,0.0,27371.557166103103,3005.0,0.0,0.0,0.0,270.0,INM00042103,1928.0,4.0,18.0,99.0,130.0,8.0,303833.0,767667.0,58.75
32,30,0.0,27371.557166103103,1840.0,0.0,0.0,0.0,154.43351298119276,INM00042103,1928.0,4.0,19.0,99.0,30.0,6.0,303833.0,767667.0,79.75165318346008
33,30,0.0,27371.557166103103,3005.0,0.0,0.0,0.0,285.82513473589455,INM00042103,1928.0,4.0,20.0,99.0,30.0,8.0,303833.0,767667.0,96.06373988759506
34,30,0.0,27371.557166103103,3005.0,0.0,0.0,0.0,278.75,INM00042103,1928.0,4.0,21.0,99.0,130.0,8.0,303833.0,767667.0,73.75
35,30,0.0,27371.557166103103,2291.4285714285716,0.0,0.0,0.0,324.2857142857143,INM00042103,1928.0,4.0,22.0,99.0,30.0,7.0,303833.0,767667.0,62.857142857142854
36,30,0.0,27371.557166103106,1408.0,0.0,0.0,0.0,301.32021557743127,INM00042103,1928.0,4.0,23.0,99.0,30.0,5.0,303833.0,767667.0,117.7019838201521
37,30,0.0,27371.557166103103,2291.4285714285716,0.0,0.0,0.0,252.85714285714286,INM00042103,1928.0,4.0,24.0,99.0,130.0,7.0,303833.0,767667.0,141.42857142857142
38,30,0.0,27371.557166103103,2291.4285714285716,0.0,0.0,0.0,238.08586826959376,INM00042103,1928.0,4.0,25.0,99.0,30.0,7.0,303833.0,767667.0,62.6442741572515
